"5000, low-medium risk",,,,"15000, medium-high risk",,,,"100000, medium risk",,,
Annualized return,Annualized volatility,Sharpe ratio,Max drawdown,Annualized return,Annualized volatility,Sharpe ratio,Max drawdown,Annualized return,Annualized volatility,Sharpe ratio,Max drawdown
0.2453,0.1884,1.3,-0.3185,0.3361,0.2982,1.13,-0.4806,0.2948,0.2263,1.3,-0.3444
0.2428,0.1917,1.27,-0.2827,0.3388,0.3294,1.03,-0.5437,0.3181,0.2383,1.34,-0.3658
0.2462,0.1882,1.31,-0.3059,0.3262,0.3154,1.03,-0.5147,0.287,0.2231,1.29,-0.3222
0.2697,0.2029,1.33,-0.2734,0.3327,0.2943,1.13,-0.4692,0.2946,0.2218,1.33,-0.3182
0.236,0.1944,1.21,-0.2853,0.4375,0.3263,1.34,-0.5048,0.3586,0.2569,1.4,-0.417
0.2269,0.1763,1.29,-0.2717,0.4363,0.3247,1.34,-0.5025,0.3108,0.2342,1.33,-0.3663
0.2831,0.2018,1.4,-0.3252,0.3296,0.3147,1.05,-0.5116,0.2972,0.2309,1.29,-0.3907
0.2848,0.1985,1.43,-0.3274,0.3482,0.3089,1.13,-0.4983,0.2959,0.2239,1.32,-0.3496
0.2574,0.1912,1.35,-0.2905,0.3433,0.2973,1.15,-0.4707,0.3059,0.2335,1.31,-0.359
0.271,0.2122,1.28,-0.331,0.4042,0.2833,1.43,-0.4677,0.3306,0.2294,1.44,-0.3223
0.2561,0.193,1.33,-0.3025,0.3176,0.3131,1.01,-0.515,0.2875,0.2189,1.31,-0.3379
0.2236,0.1848,1.21,-0.3101,0.348,0.3234,1.08,-0.5308,0.3329,0.2348,1.42,-0.3452
0.2352,0.1757,1.34,-0.2632,0.393,0.2759,1.42,-0.4426,0.3101,0.2403,1.29,-0.3951
0.2722,0.2072,1.31,-0.3121,0.3363,0.3201,1.05,-0.5186,0.3316,0.232,1.43,-0.3317
0.3152,0.2294,1.37,-0.3445,0.4322,0.3238,1.33,-0.5017,0.3569,0.2552,1.4,-0.415
0.2843,0.2009,1.42,-0.3224,0.3499,0.2567,1.36,-0.4057,0.319,0.2383,1.34,-0.3895
0.2755,0.2159,1.28,-0.2989,0.3427,0.3201,1.07,-0.5122,0.303,0.2335,1.3,-0.3865
0.2792,0.2156,1.3,-0.2976,0.3433,0.2973,1.15,-0.4707,0.3115,0.2355,1.32,-0.3821
0.2694,0.2046,1.32,-0.2868,0.348,0.3234,1.08,-0.5308,0.3494,0.2433,1.44,-0.3651
0.14,0.1347,1.04,-0.259,0.3904,0.2835,1.38,-0.4728,0.2963,0.2294,1.29,-0.3699
0.2737,0.2091,1.31,-0.3057,0.3161,0.2444,1.29,-0.3664,0.3086,0.2258,1.37,-0.3369
0.2658,0.2053,1.29,-0.2998,0.3427,0.3201,1.07,-0.5122,0.3713,0.2564,1.45,-0.376
0.2597,0.2025,1.28,-0.3003,0.3328,0.3248,1.02,-0.5396,0.3261,0.2425,1.35,-0.3991
0.2622,0.2,1.31,-0.2804,0.3333,0.3119,1.07,-0.4926,0.303,0.2285,1.33,-0.3807
0.2642,0.197,1.34,-0.2979,0.3359,0.3063,1.1,-0.4892,0.3031,0.2275,1.33,-0.3258
0.2761,0.2072,1.33,-0.2984,0.3283,0.311,1.06,-0.4989,0.3906,0.2711,1.44,-0.4228
0.2529,0.2012,1.26,-0.2876,0.2832,0.2975,0.95,-0.4873,0.2995,0.2272,1.32,-0.3415
0.2815,0.2178,1.29,-0.3117,0.3363,0.3201,1.05,-0.5186,0.384,0.2619,1.47,-0.3897
0.2588,0.2008,1.29,-0.3204,0.348,0.3234,1.08,-0.5308,0.3442,0.2496,1.38,-0.3967
0.236,0.1944,1.21,-0.2853,0.3476,0.3245,1.07,-0.5186,0.3252,0.2342,1.39,-0.3345
0.2847,0.2278,1.25,-0.3814,0.3363,0.3201,1.05,-0.5186,0.323,0.2378,1.36,-0.3639
0.2847,0.2278,1.25,-0.3814,0.3244,0.312,1.04,-0.5148,0.3031,0.2275,1.33,-0.3258
0.2691,0.1873,1.44,-0.2938,0.4405,0.3246,1.36,-0.5009,0.2944,0.222,1.33,-0.3512
0.2622,0.2022,1.3,-0.2894,0.3506,0.2934,1.2,-0.4753,0.3158,0.2385,1.32,-0.4002
0.2786,0.2112,1.32,-0.3021,0.3222,0.2848,1.13,-0.4623,0.3071,0.2296,1.34,-0.336
0.2349,0.1933,1.21,-0.2848,0.3243,0.3135,1.03,-0.5066,0.3096,0.2266,1.37,-0.3376
0.2422,0.1884,1.29,-0.2917,0.3427,0.3201,1.07,-0.5122,0.2982,0.2276,1.31,-0.3576
0.2716,0.2027,1.34,-0.2972,0.3511,0.3016,1.16,-0.4907,0.2993,0.2232,1.34,-0.3578
0.2703,0.2048,1.32,-0.2783,0.3427,0.3201,1.07,-0.5122,0.3108,0.2347,1.32,-0.3934
0.236,0.1944,1.21,-0.2853,0.348,0.3234,1.08,-0.5308,0.2987,0.2261,1.32,-0.3272
